URL,File Size/Bytes,Number of Links Found,Content-Type 
https://www.nytimes.com/,1048576,94,text/html
https://www.nytimes.com/2021/02/18/us/politics/native-americans-biden.html,384118,57,text/html
https://www.nytimes.com/2021/02/19/opinion/covid-symptoms-gorillas.html,347181,66,text/html
https://www.nytimes.com/video,442122,52,text/html
https://www.nytimes.com/2021/01/20/us/politics/biden-inauguration-speech-transcript.html,709058,61,text/html
https://www.nytimes.com/2020/12/11/opinion/covid-bats.html?searchResultPosition=1,591882,79,text/html
https://www.nytimes.com/2021/02/18/world/europe/carnival-canceled.html,449675,62,text/html
https://www.nytimes.com/section/us,604724,65,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-default-homescreen-57x57-43808a4cd5333b648057a01624d84960.png,1184,0,image/png
https://www.nytimes.com/2021/02/19/opinion/ezra-klein-podcast-george-saunders.html,317442,66,text/html
https://www.nytimes.com/video/investigations,1048576,104,text/html
https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html,283544,46,text/html
https://www.nytimes.com/2021/02/18/us/politics/ted-cruz-storm-cancun.html,410955,56,text/html
https://www.nytimes.com/2020/07/06/us/dakota-access-pipeline.html,283281,50,text/html
https://www.nytimes.com/es/,802389,144,text/html
https://www.nytimes.com/2021/02/18/magazine/amazon-workers-employees-covid-19.html,609051,47,text/html
https://www.nytimes.com/video/Most-Viewed,1048576,80,text/html
https://www.nytimes.com/2021/01/11/us/gorillas-coronavirus-san-diego.html,361481,54,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2440,0,image/png
https://www.nytimes.com/section/books,594815,113,text/html
https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,435389,201,text/html
https://www.nytimes.com/2021/02/17/realestate/the-smart-way-to-grow-roses.html,410556,49,text/html
https://www.nytimes.com/news-event/2021-inauguration-biden,591701,78,text/html
https://www.nytimes.com/video/magazine,1048576,104,text/html
https://www.nytimes.com/2021/02/19/opinion/afd-germany-ban.html,259157,45,text/html
https://www.nytimes.com/2021/02/18/us/politics/biden-europe-russia-china.html,355566,50,text/html
https://www.nytimes.com/interactive/2021/01/21/us/politics/biden-inauguration-attendees.html,191398,35,text/html
https://www.nytimes.com/interactive/2021/02/18/world/europe/carnival-costumes.html,190885,79,text/html
https://www.nytimes.com/spotlight/at-home,842308,140,text/html
https://www.nytimes.com/section/arts,545280,88,text/html
https://www.nytimes.com/by/mark-walker,360842,54,text/html
https://www.nytimes.com/by/geneva-abdul,386506,53,text/html
https://www.nytimes.com/video/hk-protest,1048576,104,text/html
https://www.nytimes.com/2021/02/19/us/coronavirus-vaccines.html,448835,61,text/html
https://www.nytimes.com/by/sandra-e-garcia,354524,55,text/html
https://www.nytimes.com/2020/12/17/climate/deb-haaland-interior-department-native-american.html,313754,55,text/html
https://www.nytimes.com/2021/02/18/opinion/republican-party-voters.html,306433,50,text/html
https://www.nytimes.com/2021/02/11/dining/valentines-brownie-recipes.html,356352,56,text/html
https://www.nytimes.com/video/diaryofasong,1048576,96,text/html
https://www.nytimes.com/live/2021/01/20/us/inauguration-protests-parties,986557,92,text/html
https://www.nytimes.com/section/world/europe,682527,56,text/html
https://www.nytimes.com/international/,1048576,94,text/html
https://www.nytimes.com/ca/,1048576,94,text/html
https://www.nytimes.com/2021/01/20/climate/biden-paris-climate-agreement.html,393579,62,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3148,0,image/png
https://www.nytimes.com/by/pierre-antoine-louis,543324,54,text/html
https://www.nytimes.com/video/latest-video,1048576,104,text/html
https://www.nytimes.com/2021/01/20/us/biden-inauguration-photos.html,629080,52,text/html
https://www.nytimes.com/privacy/privacy-policy,138939,45,text/html
https://www.nytimes.com/2021/02/16/style/ambience-videos-asmr-youtube.html,374225,63,text/html
https://www.nytimes.com/2021/02/18/podcasts/still-processing-hillbilly-elegy-whiteness-america.html,341154,75,text/html
https://www.nytimes.com/section/nyregion,469588,78,text/html
